id,campaign,model,time
10135,WTG_BQP_ScreenBar_Q221,WiT ScreenBar,2021/6/29 15:02
10136,WTG_BQE_Screenbar,ScreenBar lite,2021/6/29 20:05
10137,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/29 20:26
10138,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/29 20:45
10139,LCD_BQA_Gaming Monitor_2021 1H,EX2710,2021/6/29 21:55
10140,LCD_BQA_Gaming Monitor_2020 1H,EX2780Q,2021/6/29 21:58
10141,ESD_BQE_Zowie XL-Series Monitor,XL2546K,2021/6/30 02:06
10142,PRJ_BQP_4K PRJ_Q221,TK700STi,2021/6/30 11:36
10143,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 16:16
10144,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 16:18
10145,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 16:45
10146,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 16:48
10148,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 16:56
10149,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 17:03
10150,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 17:08
10151,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 17:14
10152,ESD_BQP_XL-K_Q221,XL2411K,2021/6/30 17:18
10153,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 17:27
10154,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/30 19:59
10155,LCD_BQE_DesignVue Designer Monitor,PD2725U,2021/6/30 20:04
10156,PRJ_BQE_Home Entertainment,TK700STi,2021/6/30 20:46
10157,ESD_BQP_XL-K_Q221,XL2546K,2021/6/30 21:01
10158,WTG_BQP_ScreenBar_Q221,WiT ScreenBar,2021/6/30 21:05
